icon_name,url,saved_path
feather,https://files.svgcdn.io/fa7-solid/feather.svg,animals_icons/feather.svg
feather,https://files.svgcdn.io/fa6-solid/feather.svg,animals_icons/feather_2.svg
feather,https://files.svgcdn.io/fa-solid/feather.svg,animals_icons/feather_3.svg
feather-alt,https://files.svgcdn.io/fa7-solid/feather-alt.svg,animals_icons/feather-alt.svg
feather-alt,https://files.svgcdn.io/fa-solid/feather-alt.svg,animals_icons/feather-alt_2.svg
fish,https://files.svgcdn.io/iconoir/fish.svg,animals_icons/fish.svg
fish,https://files.svgcdn.io/fa7-solid/fish.svg,animals_icons/fish_2.svg
fish,https://files.svgcdn.io/fa6-solid/fish.svg,animals_icons/fish_3.svg
fish,https://files.svgcdn.io/fa-solid/fish.svg,animals_icons/fish_4.svg
fish-one,https://files.svgcdn.io/icon-park/fish-one.svg,animals_icons/fish-one.svg
fish-one,https://files.svgcdn.io/icon-park-twotone/fish-one.svg,animals_icons/fish-one_2.svg
fish-one,https://files.svgcdn.io/icon-park-solid/fish-one.svg,animals_icons/fish-one_3.svg
fish-one,https://files.svgcdn.io/icon-park-outline/fish-one.svg,animals_icons/fish-one_4.svg
frog,https://files.svgcdn.io/icon-park/frog.svg,animals_icons/frog.svg
frog,https://files.svgcdn.io/icon-park-twotone/frog.svg,animals_icons/frog_2.svg
frog,https://files.svgcdn.io/icon-park-solid/frog.svg,animals_icons/frog_3.svg
frog,https://files.svgcdn.io/icon-park-outline/frog.svg,animals_icons/frog_4.svg
frog,https://files.svgcdn.io/fa7-solid/frog.svg,animals_icons/frog_5.svg
frog,https://files.svgcdn.io/fa6-solid/frog.svg,animals_icons/frog_6.svg
frog,https://files.svgcdn.io/fa-solid/frog.svg,animals_icons/frog_7.svg
hippo,https://files.svgcdn.io/la/hippo.svg,animals_icons/hippo.svg
hippo,https://files.svgcdn.io/icon-park/hippo.svg,animals_icons/hippo_2.svg
hippo,https://files.svgcdn.io/icon-park-twotone/hippo.svg,animals_icons/hippo_3.svg
hippo,https://files.svgcdn.io/icon-park-solid/hippo.svg,animals_icons/hippo_4.svg
hippo,https://files.svgcdn.io/icon-park-outline/hippo.svg,animals_icons/hippo_5.svg
hippo,https://files.svgcdn.io/fa7-solid/hippo.svg,animals_icons/hippo_6.svg
hippo,https://files.svgcdn.io/fa6-solid/hippo.svg,animals_icons/hippo_7.svg
hippo,https://files.svgcdn.io/fa-solid/hippo.svg,animals_icons/hippo_8.svg
horse,https://files.svgcdn.io/la/horse.svg,animals_icons/horse.svg
horse,https://files.svgcdn.io/fa7-solid/horse.svg,animals_icons/horse_2.svg
horse,https://files.svgcdn.io/fa6-solid/horse.svg,animals_icons/horse_3.svg
horse,https://files.svgcdn.io/fa-solid/horse.svg,animals_icons/horse_4.svg
horse-head,https://files.svgcdn.io/la/horse-head.svg,animals_icons/horse-head.svg
horse-head,https://files.svgcdn.io/fa7-solid/horse-head.svg,animals_icons/horse-head_2.svg
horse-head,https://files.svgcdn.io/fa6-solid/horse-head.svg,animals_icons/horse-head_3.svg
horse-head,https://files.svgcdn.io/fa-solid/horse-head.svg,animals_icons/horse-head_4.svg
horse-zodiac,https://files.svgcdn.io/icon-park/horse-zodiac.svg,animals_icons/horse-zodiac.svg
horse-zodiac,https://files.svgcdn.io/icon-park-outline/horse-zodiac.svg,animals_icons/horse-zodiac_2.svg
jellyfish,https://files.svgcdn.io/iconoir/jellyfish.svg,animals_icons/jellyfish.svg
kiwi-bird,https://files.svgcdn.io/la/kiwi-bird.svg,animals_icons/kiwi-bird.svg
kiwi-bird,https://files.svgcdn.io/fa7-solid/kiwi-bird.svg,animals_icons/kiwi-bird_2.svg
kiwi-bird,https://files.svgcdn.io/fa6-solid/kiwi-bird.svg,animals_icons/kiwi-bird_3.svg
kiwi-bird,https://files.svgcdn.io/fa-solid/kiwi-bird.svg,animals_icons/kiwi-bird_4.svg
koala-bear,https://files.svgcdn.io/icon-park/koala-bear.svg,animals_icons/koala-bear.svg
koala-bear,https://files.svgcdn.io/icon-park-twotone/koala-bear.svg,animals_icons/koala-bear_2.svg
koala-bear,https://files.svgcdn.io/icon-park-solid/koala-bear.svg,animals_icons/koala-bear_3.svg
koala-bear,https://files.svgcdn.io/icon-park-outline/koala-bear.svg,animals_icons/koala-bear_4.svg
monkey,https://files.svgcdn.io/icon-park/monkey.svg,animals_icons/monkey.svg
monkey,https://files.svgcdn.io/icon-park-twotone/monkey.svg,animals_icons/monkey_2.svg
monkey,https://files.svgcdn.io/icon-park-solid/monkey.svg,animals_icons/monkey_3.svg
monkey,https://files.svgcdn.io/icon-park-outline/monkey.svg,animals_icons/monkey_4.svg
monkey-zodiac,https://files.svgcdn.io/icon-park/monkey-zodiac.svg,animals_icons/monkey-zodiac.svg
monkey-zodiac,https://files.svgcdn.io/icon-park-outline/monkey-zodiac.svg,animals_icons/monkey-zodiac_2.svg
mouse-zodiac,https://files.svgcdn.io/icon-park/mouse-zodiac.svg,animals_icons/mouse-zodiac.svg
mouse-zodiac,https://files.svgcdn.io/icon-park-outline/mouse-zodiac.svg,animals_icons/mouse-zodiac_2.svg
otter,https://files.svgcdn.io/la/otter.svg,animals_icons/otter.svg
otter,https://files.svgcdn.io/fa7-solid/otter.svg,animals_icons/otter_2.svg
otter,https://files.svgcdn.io/fa6-solid/otter.svg,animals_icons/otter_3.svg
otter,https://files.svgcdn.io/fa-solid/otter.svg,animals_icons/otter_4.svg
owl,https://files.svgcdn.io/icon-park/owl.svg,animals_icons/owl.svg
owl,https://files.svgcdn.io/icon-park-twotone/owl.svg,animals_icons/owl_2.svg
owl,https://files.svgcdn.io/icon-park-solid/owl.svg,animals_icons/owl_3.svg
owl,https://files.svgcdn.io/icon-park-outline/owl.svg,animals_icons/owl_4.svg
panda,https://files.svgcdn.io/icon-park/panda.svg,animals_icons/panda.svg
panda,https://files.svgcdn.io/icon-park-twotone/panda.svg,animals_icons/panda_2.svg
panda,https://files.svgcdn.io/icon-park-solid/panda.svg,animals_icons/panda_3.svg
panda,https://files.svgcdn.io/icon-park-outline/panda.svg,animals_icons/panda_4.svg
paw,https://files.svgcdn.io/fa7-solid/paw.svg,animals_icons/paw.svg
paw,https://files.svgcdn.io/fa6-solid/paw.svg,animals_icons/paw_2.svg
paw,https://files.svgcdn.io/fa-solid/paw.svg,animals_icons/paw_3.svg
pig,https://files.svgcdn.io/icon-park/pig.svg,animals_icons/pig.svg
pig,https://files.svgcdn.io/icon-park-twotone/pig.svg,animals_icons/pig_2.svg
pig,https://files.svgcdn.io/icon-park-solid/pig.svg,animals_icons/pig_3.svg
pig,https://files.svgcdn.io/icon-park-outline/pig.svg,animals_icons/pig_4.svg
pig-zodiac,https://files.svgcdn.io/icon-park/pig-zodiac.svg,animals_icons/pig-zodiac.svg
pig-zodiac,https://files.svgcdn.io/icon-park-outline/pig-zodiac.svg,animals_icons/pig-zodiac_2.svg
pigeon,https://files.svgcdn.io/icon-park/pigeon.svg,animals_icons/pigeon.svg
pigeon,https://files.svgcdn.io/icon-park-twotone/pigeon.svg,animals_icons/pigeon_2.svg
pigeon,https://files.svgcdn.io/icon-park-solid/pigeon.svg,animals_icons/pigeon_3.svg
pigeon,https://files.svgcdn.io/icon-park-outline/pigeon.svg,animals_icons/pigeon_4.svg
rabbit,https://files.svgcdn.io/icon-park/rabbit.svg,animals_icons/rabbit.svg
rabbit,https://files.svgcdn.io/icon-park-twotone/rabbit.svg,animals_icons/rabbit_2.svg
rabbit,https://files.svgcdn.io/icon-park-solid/rabbit.svg,animals_icons/rabbit_3.svg
rabbit,https://files.svgcdn.io/icon-park-outline/rabbit.svg,animals_icons/rabbit_4.svg
rabbit-zodiac,https://files.svgcdn.io/icon-park/rabbit-zodiac.svg,animals_icons/rabbit-zodiac.svg
rabbit-zodiac,https://files.svgcdn.io/icon-park-outline/rabbit-zodiac.svg,animals_icons/rabbit-zodiac_2.svg
sheep-zodiac,https://files.svgcdn.io/icon-park/sheep-zodiac.svg,animals_icons/sheep-zodiac.svg
sheep-zodiac,https://files.svgcdn.io/icon-park-outline/sheep-zodiac.svg,animals_icons/sheep-zodiac_2.svg
snake-zodiac,https://files.svgcdn.io/icon-park/snake-zodiac.svg,animals_icons/snake-zodiac.svg
snake-zodiac,https://files.svgcdn.io/icon-park-outline/snake-zodiac.svg,animals_icons/snake-zodiac_2.svg
spider,https://files.svgcdn.io/fa7-solid/spider.svg,animals_icons/spider.svg
spider,https://files.svgcdn.io/fa6-solid/spider.svg,animals_icons/spider_2.svg
spider,https://files.svgcdn.io/fa-solid/spider.svg,animals_icons/spider_3.svg
tiger-zodiac,https://files.svgcdn.io/icon-park/tiger-zodiac.svg,animals_icons/tiger-zodiac.svg
tiger-zodiac,https://files.svgcdn.io/icon-park-outline/tiger-zodiac.svg,animals_icons/tiger-zodiac_2.svg
whale,https://files.svgcdn.io/icon-park/whale.svg,animals_icons/whale.svg
whale,https://files.svgcdn.io/icon-park-twotone/whale.svg,animals_icons/whale_2.svg
whale,https://files.svgcdn.io/icon-park-solid/whale.svg,animals_icons/whale_3.svg
whale,https://files.svgcdn.io/icon-park-outline/whale.svg,animals_icons/whale_4.svg
wolf,https://files.svgcdn.io/iconoir/wolf.svg,animals_icons/wolf.svg
wolf-solid,https://files.svgcdn.io/iconoir/wolf-solid.svg,animals_icons/wolf-solid.svg
2,https://files.svgcdn.io/streamline-emojis/2.svg,animals_icons/2.svg
ant,https://files.svgcdn.io/twemoji/ant.svg,animals_icons/ant.svg
ant,https://files.svgcdn.io/streamline-emojis/ant.svg,animals_icons/ant_2.svg
ant,https://files.svgcdn.io/openmoji/ant.svg,animals_icons/ant_3.svg
ant,https://files.svgcdn.io/noto/ant.svg,animals_icons/ant_4.svg
ant,https://files.svgcdn.io/noto-v1/ant.svg,animals_icons/ant_5.svg
ant,https://files.svgcdn.io/fluent-emoji/ant.svg,animals_icons/ant_6.svg
ant,https://files.svgcdn.io/fluent-emoji-high-contrast/ant.svg,animals_icons/ant_7.svg
ant,https://files.svgcdn.io/fluent-emoji-flat/ant.svg,animals_icons/ant_8.svg
baby-chick,https://files.svgcdn.io/twemoji/baby-chick.svg,animals_icons/baby-chick.svg
baby-chick,https://files.svgcdn.io/streamline-emojis/baby-chick.svg,animals_icons/baby-chick_2.svg
baby-chick,https://files.svgcdn.io/openmoji/baby-chick.svg,animals_icons/baby-chick_3.svg
baby-chick,https://files.svgcdn.io/noto/baby-chick.svg,animals_icons/baby-chick_4.svg
baby-chick,https://files.svgcdn.io/noto-v1/baby-chick.svg,animals_icons/baby-chick_5.svg
baby-chick,https://files.svgcdn.io/fluent-emoji/baby-chick.svg,animals_icons/baby-chick_6.svg
baby-chick,https://files.svgcdn.io/fluent-emoji-high-contrast/baby-chick.svg,animals_icons/baby-chick_7.svg
baby-chick,https://files.svgcdn.io/fluent-emoji-flat/baby-chick.svg,animals_icons/baby-chick_8.svg
badger,https://files.svgcdn.io/twemoji/badger.svg,animals_icons/badger.svg
badger,https://files.svgcdn.io/openmoji/badger.svg,animals_icons/badger_2.svg
badger,https://files.svgcdn.io/noto/badger.svg,animals_icons/badger_3.svg
badger,https://files.svgcdn.io/fluent-emoji/badger.svg,animals_icons/badger_4.svg
